season,school,prev_season,lag_gap_years,lag_star_z,lag_depth_z,lag_pack_gap,enrollment_9_12,enrollment_source,sector,wcac,state_place,state_score,score_source
2023,Gonzaga College,2022.0,1.0,-1.5543713044674985,-0.8408467181444927,0.7135245863230057,960,static schools.csv fallback,private,1,1,34,posted_team_table
2023,St. Albans,2022.0,1.0,-1.9583469160274896,-1.0410595871425905,0.9172873288848992,375,static schools.csv fallback,private,0,2,43,posted_team_table
2023,St. John's College,2022.0,1.0,-1.4421952998515437,-0.3900127755423945,1.0521825243091492,1100,static schools.csv fallback,private,1,3,46,posted_team_table
2023,Georgetown Day,2022.0,1.0,-1.2938105848848682,-0.6605131411036544,0.6332974437812138,490,static schools.csv fallback,private,0,4,115,posted_team_table
2023,Sidwell Friends,2022.0,1.0,-1.075138373355032,-0.2948761640326614,0.7802622093223706,470,static schools.csv fallback,private,0,5,177,posted_team_table
2023,Jackson-Reed,2022.0,1.0,-0.9800017618452987,-0.0506448628434926,0.9293568990018062,1978,DCPS audit SY2023-24 sheet=SY 2023-24,public,0,6,191,posted_team_table
2023,DC International,2022.0,1.0,-0.0144361524927736,0.5826525809377228,0.5970887334304964,1450,static schools.csv fallback,charter,0,7,197,posted_team_table
2023,Maret,2022.0,1.0,-0.2927462398943825,0.2496744406536527,0.5424206805480353,320,static schools.csv fallback,private,0,8,277,posted_team_table
2023,Washington Latin,2022.0,1.0,0.0686308889000542,1.3245761557710969,1.255945266871043,580,static schools.csv fallback,charter,0,9,288,posted_team_table
2023,KIPP DC College Prep,2022.0,1.0,0.3753399648120332,1.7356515144586784,1.3603115496466451,700,static schools.csv fallback,charter,0,14,368,posted_team_table
2024,St. Albans,2023.0,1.0,-1.3326403979252457,-0.8470903981303977,0.485549999794848,375,static schools.csv fallback,private,0,1,25,posted_team_table
2024,Gonzaga College,2023.0,1.0,-1.302442083518779,-0.9715571537520412,0.3308849297667379,960,static schools.csv fallback,private,1,2,64,posted_team_table
2024,St. John's College,2023.0,1.0,-1.162416983444431,-0.9405485089053296,0.2218684745391012,1100,static schools.csv fallback,private,1,3,67,posted_team_table
2024,Georgetown Day,2023.0,1.0,-0.8115439028183142,-0.5329522974620586,0.2785916053562556,490,static schools.csv fallback,private,0,4,108,posted_team_table
2024,Jackson-Reed,2023.0,1.0,-0.7358590396994245,0.4136217008028856,1.1494807405023102,1846,DCPS audit SY2024-25 sheet=SY 2024-25,public,0,5,133,posted_team_table
2024,Sidwell Friends,2023.0,1.0,-0.66584648966225,-0.1419948710584853,0.5238516186037647,470,static schools.csv fallback,private,0,6,214,posted_team_table
2024,Washington Latin,2023.0,1.0,-0.5608816866358391,0.4833641406933119,1.044245827329151,580,static schools.csv fallback,charter,0,7,234,posted_team_table
2024,Maret,2023.0,1.0,-0.3855261793668053,0.6176088836272452,1.0031350629940503,320,static schools.csv fallback,private,0,8,245,posted_team_table
2024,BASIS DC,2023.0,1.0,-0.3226445372037871,0.5079441640474123,0.8305887012511994,560,static schools.csv fallback,charter,0,9,249,posted_team_table
2024,DC International,2023.0,1.0,-0.6864288828444758,-0.0450793504051755,0.6413495324393003,1450,static schools.csv fallback,charter,0,10,254,posted_team_table
2024,McKinley Technology,2023.0,1.0,-0.2215152982612019,0.824189123860389,1.045704422121591,723,DCPS audit SY2024-25 sheet=SY 2024-25,public,0,11,266,posted_team_table
2024,Field,2022.0,2.0,-0.2167789456291483,2.099158567391394,2.3159375130205424,340,static schools.csv fallback,private,0,12,302,posted_team_table
